geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
01013,-23.546923208436723,-46.6342636964915,sao paulo,SP
01221,-23.54601532944774,-46.64900196003804,sao paulo,SP
01228,-23.54839279655493,-46.659018341392965,sao paulo,SP
01212,-23.537511255832708,-46.63705730743676,são paulo,SP
01314,-23.550271219805023,-46.641530430203645,sao paulo,SP
01424,-23.56816235942637,-46.66117892867444,sao paulo,SP
01511,-23.555682314184303,-46.63309991286275,sao paulo,SP
02030,-23.504769581649203,-46.62470303231384,sao paulo,SP
02016,-23.50097763469062,-46.62712333406575,sao paulo,SP
02041,-23.49010232139766,-46.61972998972821,sao paulo,SP
02028,-23.50751845268047,-46.6174707485429,sao paulo,SP
02350,-23.459346031363605,-46.60929309103239,sao paulo,SP
02310,-23.4719444074384,-46.59864459256161,sao paulo,SP
02408,-23.48192669608748,-46.62646540521669,sao paulo,SP
02537,-23.49266694338963,-46.649278230509495,sao paulo,SP
02613,-23.472582799613345,-46.66107383097695,sao paulo,SP
02842,-23.473527475157265,-46.68753138481736,sao paulo,SP
02859,-23.44337350375091,-46.70672341326679,são paulo,SP
02989,-23.429807053203387,-46.7211738556802,sao paulo,SP
02972,-23.48029674271453,-46.71122495337295,sao paulo,SP
03088,-23.52731184179699,-46.56137431473256,sao paulo,SP
03071,-23.533721612268447,-46.562341521640086,sao paulo,SP
03031,-23.52833381848348,-46.61941011172019,sao paulo,SP
03127,-23.57744523619365,-46.58928864723873,sao paulo,SP
03185,-23.56351781487679,-46.584379697472464,sao paulo,SP
03141,-23.590022776821183,-46.57065833812266,sao paulo,SP
03187,-23.566230979700467,-46.58020347785505,sao paulo,SP
03126,-23.58067325143878,-46.591568341608856,sao paulo,SP
03275,-23.58620844962204,-46.53589144310119,sao paulo,SP
03386,-23.584168436997302,-46.53066136149352,são paulo,SP
03378,-23.575139177299555,-46.54103782670819,sao paulo,SP
03426,-23.554079433810344,-46.53324185942636,sao paulo,SP
03431,-23.554133203993324,-46.53048959908248,sao paulo,SP
03564,-23.53321650340715,-46.50046729003948,sao paulo,SP
03573,-23.56168119891244,-46.50627110555333,sao paulo,SP
03504,-23.53877907744238,-46.53648566833056,sao paulo,SP
03685,-23.52377256527157,-46.47524063467857,sao paulo,SP
03669,-23.53270178351319,-46.4896742164868,são paulo,SP
03647,-23.530828892867447,-46.527533900773285,sao paulo,SP
03605,-23.521211518177623,-46.54688421495761,sao paulo,SP
03707,-23.506898050233723,-46.542727702608346,sao paulo,SP
03702,-23.51674732944774,-46.54818243075192,sao paulo,SP
03821,-23.49517247515727,-46.50119464071786,são paulo,SP
03872,-23.512538179294825,-46.50108112461768,sao paulo,SP
03809,-23.489345713572614,-46.47738070858095,sao paulo,SP
03813,-23.48668357540144,-46.46746268716547,sao paulo,SP
03933,-23.58343069747245,-46.50203424424373,sao paulo,SP
04042,-23.602707503462444,-46.64264399999999,sao paulo,SP
04022,-23.593023,-46.646572500000005,sao paulo,SP
04045,-23.61763890592578,-46.6389807441141,sao paulo,SP
04087,-23.609026190856948,-46.65965657991232,sao paulo,SP
04122,-23.603187216486816,-46.62096322009347,sao paulo,SP
04142,-23.611654194010004,-46.63258761587511,sao paulo,SP
04195,-23.657250175378767,-46.61075944811122,sao paulo,SP
04102,-23.59272363197529,-46.6315844403312,sao paulo,SP
04171,-23.632235999999992,-46.61515349999999,sao paulo,SP
04160,-23.62358155176294,-46.61056007369148,sao paulo,SP
04205,-23.58045999999996,-46.60592999999994,são paulo,SP
04243,-23.626269,-46.586534475523,sao paulo,SP
04230,-23.601843679000368,-46.60023440606268,sao paulo,SP
04265,-23.58667354731954,-46.61242320483004,são paulo,SP
04248,-23.61411790980433,-46.60034800222169,sao paulo,SP
04302,-23.621426340267785,-46.637372330976966,sao paulo,SP
04378,-23.646246311207523,-46.66349868836885,sao paulo,SP
04403,-23.667843855675457,-46.66038973120199,sao paulo,SP
04401,-23.670706610046736,-46.66108764570951,sao paulo,SP
04455,-23.678985771856432,-46.678985470858095,sao paulo,SP
04461,-23.69289565500035,-46.68021046531817,sao paulo,SP
04569,-23.6022825745282,-46.69322772967279,são paulo,SP
04561,-23.6119461648681,-46.68121078074323,sao paulo,SP
04556,-23.611487777407536,-46.67771426763211,sao paulo,SP
04567,-23.61424927422236,-46.68844105482136,sao paulo,SP
04773,-23.681542547319527,-46.70780575451552,sao paulo,SP
04726,-23.63580786663679,-46.71209825910773,sao paulo,SP
04739,-23.64445281409649,-46.70007520249481,sao paulo,SP
04771,-23.680608736886143,-46.71141009824576,sao paulo,SP
04782,-23.693985995008337,-46.70188324132953,sao paulo,SP
04849,-23.740974,-46.67018849999998,são paulo,SP
04809,-23.71992046378896,-46.693208556754605,sao paulo,SP
04820,-23.734658908426308,-46.68685840272085,sao paulo,SP
04917,-23.68726696641469,-46.74885508979163,sao paulo,SP
04960,-23.726413791563274,-46.787813649316185,sao paulo,SP
05017,-23.537309857060443,-46.6787664476888,sao paulo,SP
05092,-23.511502314851025,-46.71448715742552,são paulo,SP
05141,-23.49065997530149,-46.7284764394945,sao paulo,SP
05351,-23.55810175353457,-46.75729204524208,sao paulo,SP
05415,-23.563965740492826,-46.68179815445209,são paulo,SP
05432,-23.551567250620376,-46.69325969149985,são paulo,SP
05530,-23.577073040798663,-46.7199426382077,sao paulo,SP
05729,-23.63329280322003,-46.73784151540766,sao paulo,SP
05730,-23.633964565641403,-46.74107526602805,sao paulo,SP
05772,-23.63772854593455,-46.75823555759132,sao paulo,SP
05849,-23.651114842510157,-46.75521082321932,sao paulo,SP
05890,-23.66734335045476,-46.78750322877922,são paulo,SP
06080,-23.544421691355613,-46.78839877935824,osasco,SP
06160,-23.56267680949066,-46.80937040670384,osasco,SP
06162,-23.55775014393556,-46.80815711799397,osasco,SP
06270,-23.49708886034903,-46.771496572731024,osasco,SP
06365,-23.548007803126943,-46.8485750585056,carapicuiba,SP
06341,-23.57241932843741,-46.81653106742156,carapicuiba,SP
06540,-23.45999953873564,-46.879733658501294,santana de parnaiba,SP
06765,-23.623297507355577,-46.769556898983055,taboao da serra,SP
06704,-23.566410360148463,-46.92207458901101,cotia,SP
06780,-23.617823004822213,-46.79358236394467,taboao da serra,SP
06793,-23.619672721933625,-46.81016057837504,taboao da serra,SP
06871,-23.72033746105922,-46.85362208015704,itapecerica da serra,SP
06816,-23.645106,-46.83806297056964,embu das artes,SP
06853,-23.68913659838998,-46.85084778934157,itapecerica da serra,SP
07032,-23.50542926894224,-46.54869177407812,guarulhos,SP
07133,-23.44007914793122,-46.51144923980033,guarulhos,SP
07112,-23.465304114698757,-46.51148732089968,guarulhos,SP
07140,-23.42207596280801,-46.49318406994056,guarulhos,SP
07192,-23.451856155981304,-46.50616235789715,guarulhos,SP
07400,-23.39888374540156,-46.32526700508771,aruja,SP
07411,-23.40112949486411,-46.34138851387846,aruja,SP
07600,-23.323581622627877,-46.571516434161296,mairipora,SP
07990,-23.27750633679461,-46.73842567413335,francisco morato,SP
08190,-23.48870639938831,-46.395040133360254,sao paulo,SP
08290,-23.551013388568272,-46.44848890729416,sao paulo,SP
08250,-23.539824031911863,-46.434679443937874,sao paulo,SP
08451,-23.542061405505155,-46.39838470191586,sao paulo,SP
08431,-23.525436666945577,-46.413071696087485,sao paulo,SP
08577,-23.48262344063541,-46.37448952833195,itaquaquecetuba,SP
08541,-23.52145430890418,-46.37456588259565,ferraz de vasconcelos,SP
08673,-23.54646763188849,-46.31743880609893,suzano,SP
09015,-23.665703457960586,-46.51808196779969,santo andre,SP
09171,-23.70007597807146,-46.512702481822366,santo andre,SP
09230,-23.61571809769749,-46.53118432278263,santo andre,SP
09290,-23.64309058728148,-46.51261568180499,santo andre,SP
09350,-23.68011442853022,-46.4524537436668,maua,SP
09371,-23.66930462115525,-46.48159847045406,maua,SP
09390,-23.65852158573596,-46.45154258453908,maua,SP
09416,-23.73407261059953,-46.44241000920845,ribeirao pires,SP
09415,-23.75156370006625,-46.44223090761778,ribeirao pires,SP
09560,-23.626053031363607,-46.554888478215695,sao caetano do sul,SP
09530,-23.61776447100232,-46.574964586733216,sao caetano do sul,SP
09691,-23.66967527586777,-46.588902340056265,sao bernardo do campo,SP
09661,-23.658965580904837,-46.59704298946843,sao bernardo do campo,SP
09750,-23.688917125468198,-46.552552123595405,sao bernardo do campo,SP
09720,-23.71933860892157,-46.5517479343586,sao bernardo do campo,SP
09725,-23.699353075768943,-46.5600310818858,sao bernardo do campo,SP
09961,-23.716539426075457,-46.60164008391423,diadema,SP
09921,-23.68126777542048,-46.612177805125086,diadema,SP
11065,-23.9678895545329,-46.34412123980033,santos,SP
11701,-24.011288218359883,-46.41873374429398,praia grande,SP
11704,-24.026786758814687,-46.49304889148245,praia grande,SP
11900,-24.49203032806276,-47.83413137913321,registro,SP
12243,-23.201781118789317,-45.89567007799064,sao jose dos campos,SP
12246,-23.221587583126546,-45.90665169219235,sao jose dos campos,SP
12216,-23.201181199001663,-45.88358210352587,sao jose dos campos,SP
12327,-23.29818595956356,-45.974828011182304,jacarei,SP
12308,-23.30139631473257,-45.96172658840667,jacarei,SP
12701,-22.577927804605014,-44.95825089647411,cruzeiro,SP
12940,-23.112774381969185,-46.5488845105504,atibaia,SP
12954,-23.098863635889412,-46.54789512763439,atibaia,SP
12924,-23.01778836599993,-46.52244499999995,braganca paulista,SP
13070,-22.895876357204664,-47.0791850342778,campinas,SP
13045,-22.92841942957608,-47.03706900304376,campinas,SP
13091,-22.86623673772286,-47.02516561962605,campinas,SP
13087,-22.85275770752771,-47.05510214136723,campinas,SP
13043,-22.933200411915568,-47.04106490766075,campinas,SP
13013,-22.91123520843672,-47.05819755314793,campinas,SP
