product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39.0,772.0,1.0,150.0,16.0,16.0,11.0
00a985c524adbb97a4211e4ce17aabec,telefonia,58.0,734.0,3.0,250.0,17.0,4.0,12.0
3932e37f1f658768ac53fbe680f145bc,cama_mesa_banho,60.0,850.0,1.0,1100.0,40.0,10.0,30.0
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,33.0,523.0,3.0,584.0,16.0,11.0,13.0
3ac52f93c2299daa201fbb7ff36546f7,informatica_acessorios,60.0,401.0,2.0,150.0,16.0,5.0,15.0
31d6f0a621ee145ae8c70304cf564483,relogios_presentes,54.0,691.0,2.0,200.0,16.0,2.0,11.0
6d07236d4abe99b5b1cbf368971bf6e7,brinquedos,49.0,170.0,6.0,200.0,17.0,7.0,12.0
8ccac7e503c0ba1f7e7b3aafeae52cca,moveis_decoracao,35.0,596.0,4.0,5500.0,32.0,32.0,32.0
b17a4e7b997ea645dd323bb1bed802ac,,,,,600.0,24.0,4.0,15.0
154e7e31ebfa092203795c972e5804a6,beleza_saude,48.0,575.0,1.0,100.0,20.0,15.0,15.0
b5034cecd2d602fcc8175e8fe0988a3d,automotivo,56.0,361.0,1.0,200.0,35.0,4.0,26.0
336090aa9bdfdc02b01b154b2d0abda2,eletronicos,58.0,219.0,3.0,600.0,16.0,5.0,20.0
c2fb73db15e28aa021dcf7b2856fef27,bebes,52.0,704.0,4.0,3600.0,60.0,20.0,50.0
044f125d78e0a631b0479182a37aab8c,esporte_lazer,57.0,574.0,6.0,550.0,30.0,16.0,16.0
1e618d311a1b7f88a9d96ec50aa85582,utilidades_domesticas,42.0,540.0,4.0,9950.0,31.0,61.0,31.0
236fdb1c273caaa9a7dbff8111e6a4e1,moveis_decoracao,55.0,412.0,1.0,7450.0,52.0,18.0,35.0
07c055536ebf10dfbb6c6db6dbfc36e5,moveis_decoracao,59.0,473.0,1.0,600.0,30.0,3.0,20.0
656e0eca68dcecf6a31b8ececfabe3e8,informatica_acessorios,45.0,236.0,1.0,173.0,18.0,13.0,12.0
fa3bea10a666ef8afb1557f5e866b719,esporte_lazer,9.0,254.0,1.0,150.0,28.0,6.0,14.0
2a5806f10d0f00e5ad032dd2e3c8806e,moveis_escritorio,46.0,1350.0,1.0,11875.0,57.0,55.0,22.0
61509eaebb2d4bd1a7511b1a75703f8c,utilidades_domesticas,50.0,500.0,1.0,300.0,25.0,2.0,17.0
5929e483b6df44414c047cac38873fe6,esporte_lazer,22.0,300.0,2.0,650.0,60.0,10.0,20.0
40df4be4429553e18755913ac3cfeac5,instrumentos_musicais,44.0,546.0,3.0,1450.0,32.0,14.0,27.0
f38c674135b439b1d2deb1d68da9f4e6,automotivo,57.0,1412.0,9.0,600.0,20.0,10.0,15.0
7c1bd920dbdf22470b68bde975dd3ccf,beleza_saude,59.0,492.0,2.0,200.0,22.0,10.0,18.0
9aa9caee155847cddb376a05b9a39791,telefonia,60.0,777.0,6.0,300.0,17.0,4.0,12.0
ec2d43cc59763ec91694573b31f1c29a,cama_mesa_banho,38.0,735.0,5.0,800.0,20.0,20.0,20.0
eaf3ca98b28c4329251a46380c8473c5,papelaria,59.0,202.0,3.0,300.0,24.0,7.0,14.0
d4e19eb1e5c5d6194af618d3a67de4e6,beleza_saude,52.0,1151.0,1.0,300.0,16.0,20.0,15.0
0ce1e35bdc6af7e582e7ef9363e29b5b,telefonia,57.0,607.0,1.0,100.0,16.0,11.0,9.0
9c7bdf67b06b419aefb93cfdfc96c55d,esporte_lazer,25.0,823.0,1.0,476.0,17.0,14.0,14.0
3eef0cb94ba82de806bb30ab743c7655,moveis_escritorio,26.0,1177.0,1.0,11880.0,50.0,60.0,27.0
bf7a3359eeb43b9944c70293e4be896a,moveis_quarto,56.0,240.0,1.0,14000.0,60.0,5.0,90.0
6bd248f93425ceeb625a8a97e2404112,papelaria,39.0,217.0,1.0,550.0,46.0,10.0,32.0
bac35584a4b6413380a74f9617e12379,papelaria,40.0,904.0,1.0,1000.0,20.0,20.0,20.0
2e830c73f28d3b8542af03cf2637dfc4,eletronicos,34.0,214.0,1.0,275.0,24.0,9.0,17.0
cd46a885543f0e169a49f1eb25c04e43,informatica_acessorios,58.0,1390.0,2.0,3475.0,54.0,13.0,48.0
cfb79bfbdaf59cfe2e9ae0a071451f32,cama_mesa_banho,44.0,445.0,1.0,550.0,30.0,3.0,19.0
def080e33b38a4c756347d4665b40a7f,musica,45.0,1465.0,5.0,1850.0,55.0,17.0,15.0
5194b6f4fa50ae9404bfd3e48ebe3911,informatica_acessorios,54.0,1368.0,4.0,1625.0,16.0,23.0,21.0
73c61364b22d14eac780a200b81d34c5,telefonia,58.0,818.0,5.0,300.0,17.0,4.0,12.0
550299c725cac9511da2b6f40543270c,cama_mesa_banho,54.0,609.0,1.0,200.0,21.0,10.0,14.0
33ba4b29d820b397054cc97e892ab1bc,automotivo,57.0,955.0,2.0,300.0,17.0,10.0,15.0
aa280035c50ba62c746480a59045eec4,brinquedos,56.0,678.0,3.0,200.0,16.0,8.0,11.0
20f160a9cf2e856ee5eba259e9ae33f9,perfumaria,56.0,1224.0,3.0,556.0,21.0,16.0,16.0
3ece1fcd5a64459a4e24143920178f42,moveis_decoracao,59.0,2432.0,2.0,400.0,69.0,11.0,11.0
93846cfcd171609cebb8b3f8c553d23f,esporte_lazer,55.0,2021.0,5.0,588.0,25.0,30.0,28.0
75fc57fb06b1d35ea433e16ecbf5a6bb,eletronicos,45.0,471.0,1.0,125.0,22.0,9.0,16.0
2b4609f8948be18874494203496bc318,beleza_saude,59.0,492.0,3.0,250.0,22.0,10.0,18.0
2052b3c5e08893e567c2fb7778476c75,informatica_acessorios,46.0,227.0,1.0,810.0,16.0,10.0,12.0
cec09725da5ed01471d9a505e7389d37,esporte_lazer,52.0,1197.0,1.0,2500.0,20.0,11.0,11.0
f348ae21168771dfd5b8081e387b4f6b,utilidades_domesticas,52.0,340.0,3.0,250.0,25.0,10.0,15.0
a95c77f369c8486c3ca5d101c49be836,moveis_decoracao,43.0,523.0,1.0,500.0,50.0,5.0,30.0
c6dd917a0be2a704582055949915ab32,cool_stuff,54.0,1012.0,1.0,1200.0,42.0,25.0,15.0
aadff88486740e0b0ebe2be6c09476ae,beleza_saude,56.0,390.0,1.0,250.0,16.0,5.0,15.0
be837f2e0152a208d4386f4126d5bd7c,eletrodomesticos,60.0,940.0,2.0,950.0,25.0,11.0,15.0
cc74107a3eceb1b0c1c000edae5a8431,automotivo,32.0,200.0,1.0,250.0,20.0,10.0,15.0
ca5c923962558430573f83661dbe36d6,pet_shop,59.0,747.0,2.0,1250.0,40.0,20.0,30.0
3a362c0e7f9a69276e2d95869a3e143b,beleza_saude,60.0,919.0,1.0,150.0,22.0,3.0,15.0
181abab3cccc131f868d3bc7a5b97fd0,moveis_sala,38.0,433.0,1.0,1100.0,31.0,5.0,31.0
0bcc3eeca39e1064258aa1e932269894,ferramentas_jardim,57.0,339.0,2.0,1800.0,37.0,22.0,40.0
deecc62b2db3d87ff4d9fe364fead01f,telefonia,59.0,2374.0,3.0,350.0,16.0,10.0,12.0
c06d2c20b8ddf6d40c23294a6e361c78,beleza_saude,42.0,857.0,1.0,1250.0,30.0,12.0,16.0
f8b09faf273ab8c2cb4209378253f56a,beleza_saude,25.0,1351.0,1.0,1200.0,25.0,19.0,18.0
055019def765ce08da9fac0585e927c3,bebes,63.0,884.0,5.0,300.0,17.0,7.0,24.0
0a8699af8de9f3c25f80fe9b530df153,moveis_decoracao,53.0,1988.0,3.0,2500.0,65.0,8.0,45.0
98b22c1129886cbd7fcae69d1c93e442,cama_mesa_banho,57.0,188.0,1.0,1350.0,44.0,2.0,35.0
5c61329e1b7e18310bbc294c17cd47bb,brinquedos,31.0,936.0,9.0,250.0,18.0,16.0,16.0
93a12c289ca2b78e7069e469f5053ef2,informatica_acessorios,55.0,408.0,1.0,233.0,16.0,14.0,15.0
5ef336462ba740ddd4727319e26207e6,construcao_ferramentas_jardim,46.0,1157.0,1.0,1725.0,22.0,21.0,14.0
e8ac63e69971f9cf0bd7a7f78b8841ab,relogios_presentes,59.0,544.0,5.0,450.0,16.0,2.0,11.0
03bb06cda40712fb8473f7962fb7d198,cama_mesa_banho,54.0,289.0,1.0,2000.0,34.0,9.0,33.0
f068148c48720c66b21825e2c558d493,beleza_saude,25.0,3281.0,1.0,200.0,16.0,6.0,11.0
a60613d36f37a7b27d3344f40f6a7945,beleza_saude,44.0,696.0,2.0,350.0,19.0,11.0,23.0
8e48c45980a3fee42f12f7986a4b68d5,automotivo,56.0,1498.0,4.0,2250.0,56.0,69.0,12.0
